Day,Flowrate ,Riverheight,
28.26041667,48.8,0.759,
28.27083333,48.4,0.755,
28.28125,47.5,0.746,
28.29166667,47.5,0.746,
28.30208333,48,0.751,
28.3125,47.6,0.747,
28.32291667,47.1,0.742,
28.33333333,46.8,0.739,
28.34375,47.2,0.743,
28.35416667,46.7,0.738,
28.36458333,46.3,0.734,
28.375,46,0.731,
28.38541667,45.5,0.726,
28.39583333,45.6,0.727,
28.40625,45.3,0.724,
28.41666667,45.1,0.722,
28.42708333,44.8,0.719,
28.4375,44.7,0.718,
28.44791667,44.1,0.712,
28.45833333,43.7,0.708,
28.46875,44,0.711,
28.47916667,43.5,0.706,
28.48958333,43.6,0.707,
28.5,43.1,0.701,
28.51041667,42.9,0.699,
28.52083333,42.9,0.699,
28.53125,42.9,0.699,
28.54166667,42.4,0.694,
28.55208333,42.5,0.695,
28.5625,42.1,0.691,
28.57291667,41.7,0.687,
28.58333333,41.6,0.686,
28.59375,41.2,0.682,
28.60416667,41.4,0.684,
28.61458333,41.3,0.683,
28.625,41.1,0.681,
28.63541667,41.1,0.68,
28.64583333,40.7,0.676,
28.65625,40.5,0.674,
28.66666667,40.4,0.673,
28.67708333,40.2,0.671,
28.6875,40,0.669,
28.69791667,40,0.669,
28.70833333,40.1,0.67,
28.71875,39.9,0.668,
28.72916667,39.7,0.666,
28.73958333,39.7,0.666,
28.75,39.5,0.664,
28.76041667,39.3,0.661,
28.77083333,39.2,0.66,
28.78125,38.9,0.657,
28.79166667,38.5,0.653,
28.80208333,38.6,0.654,
28.8125,38.1,0.648,
28.82291667,38,0.647,
28.83333333,37.8,0.645,
28.84375,37.7,0.644,
28.85416667,37.4,0.641,
28.86458333,37.5,0.642,
28.875,37.1,0.638,
28.88541667,37,0.636,
28.89583333,37,0.636,
28.90625,37,0.636,
28.91666667,36.4,0.63,
28.92708333,36.6,0.632,
28.9375,36.2,0.628,
28.94791667,36.3,0.629,
28.95833333,35.8,0.623,
28.96875,35.7,0.622,
28.97916667,35.5,0.62,
28.98958333,35.4,0.619,
29,34.8,0.612,
29.01041667,34.9,0.613,
29.02083333,35.1,0.615,
29.03125,35,0.614,
29.04166667,34.6,0.61,
29.05208333,34.5,0.609,
29.0625,34.3,0.607,
29.07291667,34.3,0.607,
29.08333333,34.4,0.608,
29.09375,33.8,0.601,
29.10416667,33.9,0.602,
29.11458333,33.4,0.596,
29.125,33.1,0.593,
29.13541667,33.1,0.593,
29.14583333,33.1,0.593,
29.15625,32.7,0.588,
29.16666667,32.8,0.59,
29.17708333,32.8,0.59,
29.1875,32.7,0.588,
29.19791667,32.7,0.588,
29.20833333,32.1,0.582,
29.21875,32.1,0.581,
29.22916667,32,0.58,
29.23958333,31.7,0.577,
29.25,31.8,0.578,
29.26041667,31.4,0.574,
29.27083333,31.4,0.573,
29.28125,31.1,0.57,
29.29166667,31.1,0.57,
29.30208333,31.2,0.571,
29.3125,30.8,0.567,
29.32291667,30.8,0.566,
29.33333333,30.8,0.566,
29.34375,30.5,0.563,
29.35416667,30.5,0.563,
29.36458333,30.3,0.561,
29.375,30.2,0.559,
29.38541667,30.2,0.559,
29.39583333,30.1,0.558,
29.40625,30,0.557,
29.41666667,30,0.557,
29.42708333,29.9,0.556,
29.4375,29.6,0.552,
29.44791667,29.5,0.551,
29.45833333,29.4,0.55,
29.46875,29.3,0.549,
29.47916667,29.4,0.55,
29.48958333,29.4,0.55,
29.5,29.2,0.548,
29.51041667,29.4,0.55,
29.52083333,29.3,0.549,
29.53125,29.5,0.551,
29.54166667,29.5,0.551,
29.55208333,29.5,0.551,
29.5625,29.3,0.549,
29.57291667,29.2,0.548,
29.58333333,29.2,0.547,
29.59375,29.2,0.547,
29.60416667,29,0.545,
29.61458333,29.1,0.546,
29.625,29,0.545,
29.63541667,29,0.545,
29.64583333,28.8,0.543,
29.65625,28.7,0.541,
29.66666667,28.7,0.541,
29.67708333,28.7,0.542,
29.6875,28.3,0.537,
29.69791667,28.3,0.537,
29.70833333,28.2,0.536,
29.71875,28.3,0.537,
29.72916667,28,0.533,
29.73958333,27.7,0.529,
29.75,27.6,0.528,
29.76041667,27.4,0.526,
29.77083333,27.2,0.523,
29.78125,27,0.521,
29.79166667,26.9,0.52,
29.80208333,26.6,0.516,
29.8125,26.4,0.513,
29.82291667,26.5,0.515,
29.83333333,26.4,0.514,
29.84375,26.4,0.514,
29.85416667,26.1,0.51,
29.86458333,26,0.509,
29.875,25.8,0.506,
29.88541667,25.8,0.506,
29.89583333,25.8,0.506,
29.90625,25.6,0.503,
29.91666667,25.6,0.503,
29.92708333,25.5,0.502,
29.9375,25.2,0.499,
29.94791667,25.2,0.499,
29.95833333,25.1,0.497,
29.96875,24.9,0.495,
29.97916667,24.8,0.493,
29.98958333,24.8,0.493,
30,25.1,0.497,
