Day,Flowrate ,Riverheight
27.48958333,100,2.162
27.5,98.9,2.149
27.51041667,97.5,2.135
27.52083333,94.7,2.109
27.53125,93.7,2.099
27.54166667,91.9,2.081
27.55208333,90.8,2.07
27.5625,89,2.052
27.57291667,87.5,2.037
27.58333333,85.8,2.02
27.59375,86,2.022
27.60416667,84.9,2.011
27.61458333,83.9,2
27.625,83.3,1.994
27.63541667,82.3,1.983
27.64583333,81.7,1.977
27.65625,79.9,1.958
27.66666667,79.9,1.958
27.67708333,79,1.948
27.6875,77.4,1.931
27.69791667,77.1,1.927
27.70833333,75.8,1.913
27.71875,75.5,1.91
27.72916667,74.8,1.902
27.73958333,73.8,1.891
27.75,72.8,1.879
27.76041667,72.6,1.877
27.77083333,71.2,1.861
27.78125,70.9,1.858
27.79166667,70.2,1.849
27.80208333,69.4,1.84
27.8125,69.5,1.841
27.82291667,68.5,1.829
27.83333333,68.5,1.83
27.84375,68.4,1.828
27.85416667,67.4,1.817
27.86458333,67.4,1.816
27.875,66.8,1.809
27.88541667,66.3,1.803
27.89583333,65,1.788
27.90625,65.4,1.792
27.91666667,64.6,1.783
27.92708333,64.1,1.776
27.9375,63.5,1.769
27.94791667,63.1,1.764
27.95833333,62.9,1.761
27.96875,62.8,1.76
27.97916667,62.5,1.756
27.98958333,61.4,1.743
28,61.5,1.744
28.01041667,60.7,1.734
28.02083333,60.2,1.727
28.03125,59.4,1.717
28.04166667,59.4,1.717
28.05208333,58.7,1.708
28.0625,58.1,1.7
28.07291667,57.9,1.697
28.08333333,57.3,1.69
28.09375,57.3,1.69
28.10416667,56.5,1.679
28.11458333,55.9,1.671
28.125,55.6,1.667
28.13541667,55,1.659
28.14583333,55,1.658
28.15625,54.4,1.651
28.16666667,54.2,1.647
28.17708333,53.6,1.639
28.1875,53.3,1.635
28.19791667,53.2,1.634
28.20833333,52.2,1.62
28.21875,52.2,1.62
28.22916667,52.3,1.621
28.23958333,51.6,1.612
28.25,51.4,1.609
28.26041667,51.1,1.605
28.27083333,50.6,1.597
28.28125,50.6,1.597
28.29166667,50.4,1.595
28.30208333,50.2,1.592
28.3125,49.6,1.583
28.32291667,49.6,1.583
28.33333333,49.3,1.578
28.34375,48.8,1.571
28.35416667,48.7,1.569
28.36458333,48.3,1.564
28.375,48,1.559
28.38541667,47.9,1.558
28.39583333,47.6,1.553
28.40625,47.5,1.552
28.41666667,47.4,1.55
28.42708333,47.1,1.546
28.4375,46.8,1.541
28.44791667,46.8,1.541
28.45833333,46.3,1.534
28.46875,46,1.53
28.47916667,46,1.529
28.48958333,45.6,1.523
28.5,45.7,1.524
28.51041667,45.3,1.519
28.52083333,45.1,1.515
28.53125,45.1,1.516
28.54166667,44.7,1.509
28.55208333,44.8,1.511
28.5625,44.3,1.503
28.57291667,44,1.499
28.58333333,44.1,1.5
28.59375,44,1.498
28.60416667,43.7,1.494
28.61458333,44,1.498
28.625,43.3,1.488
28.63541667,43.3,1.488
28.64583333,43.3,1.487
28.65625,43.1,1.484
28.66666667,42.8,1.48
28.67708333,42.6,1.476
28.6875,42.8,1.479
28.69791667,42.7,1.478
28.70833333,42.8,1.48
28.71875,42.8,1.479
28.72916667,42.2,1.47
28.73958333,42,1.467
28.75,42,1.467
28.76041667,41.7,1.462
28.77083333,41.5,1.458
28.78125,41.4,1.457
28.79166667,41,1.451
28.80208333,41,1.45
28.8125,40.8,1.447
28.82291667,40.6,1.444
28.83333333,40.5,1.442
28.84375,40.2,1.438
28.85416667,40.2,1.437
28.86458333,40.1,1.436
28.875,40,1.434
28.88541667,39.6,1.427
28.89583333,39.7,1.429
28.90625,39.7,1.429
28.91666667,39.5,1.426
28.92708333,39.2,1.42
28.9375,39.1,1.419
28.94791667,38.9,1.415
28.95833333,38.9,1.416
28.96875,38.5,1.409
28.97916667,38.6,1.41
28.98958333,38.1,1.402
29,38,1.4
29.01041667,37.9,1.399
29.02083333,37.6,1.393
29.03125,37.8,1.397
29.04166667,37.5,1.391
29.05208333,37.3,1.389
29.0625,37.5,1.392
29.07291667,37.1,1.385
29.08333333,36.9,1.381
29.09375,36.8,1.38
29.10416667,36.8,1.379
29.11458333,36.6,1.376
29.125,36.3,1.37
29.13541667,36.2,1.369
29.14583333,36.1,1.367
29.15625,36.1,1.367
29.16666667,35.9,1.363
29.17708333,35.8,1.361
29.1875,35.7,1.36
29.19791667,35.8,1.361
29.20833333,35.5,1.356
29.21875,35.3,1.353
29.22916667,35.2,1.351
29.23958333,35.1,1.349
29.25,34.9,1.345
29.26041667,34.8,1.344
29.27083333,34.7,1.342
29.28125,34.5,1.338
29.29166667,34.8,1.343
29.30208333,34.4,1.336
29.3125,34.4,1.336
29.32291667,34.3,1.335
29.33333333,34.2,1.333
29.34375,34,1.33
29.35416667,33.9,1.328
29.36458333,33.9,1.328
29.375,33.8,1.326
29.38541667,33.6,1.322
29.39583333,33.6,1.321
29.40625,33.4,1.319
29.41666667,33.4,1.319
29.42708333,33.3,1.317
29.4375,33.2,1.314
29.44791667,33.2,1.314
29.45833333,33.1,1.313
29.46875,33.2,1.314
29.47916667,33.1,1.313
29.48958333,33.1,1.312
29.5,33.2,1.314
29.51041667,33.2,1.314
29.52083333,33.1,1.313
29.53125,33.1,1.312
29.54166667,33.1,1.313
29.55208333,33.1,1.312
29.5625,33.1,1.312
29.57291667,32.9,1.309
29.58333333,32.8,1.307
29.59375,32.9,1.309
29.60416667,33,1.31
29.61458333,32.8,1.306
29.625,32.8,1.307
29.63541667,32.6,1.304
29.64583333,32.5,1.302
29.65625,32.5,1.302
29.66666667,32.3,1.298
29.67708333,32.2,1.296
29.6875,32.1,1.294
29.69791667,32.2,1.295
29.70833333,31.9,1.29
29.71875,31.9,1.289
29.72916667,31.7,1.286
29.73958333,31.5,1.282
29.75,31.4,1.281
29.76041667,31.2,1.277
29.77083333,31.2,1.276
29.78125,31.1,1.274
29.79166667,31,1.273
29.80208333,30.9,1.27
29.8125,30.7,1.266
29.82291667,30.7,1.267
29.83333333,30.6,1.264
29.84375,30.3,1.259
29.85416667,30.2,1.257
29.86458333,30.1,1.254
29.875,30.1,1.254
29.88541667,30.2,1.256
29.89583333,30.1,1.255
29.90625,29.8,1.248
29.91666667,29.9,1.251
29.92708333,29.9,1.25
29.9375,29.8,1.249
29.94791667,29.7,1.246
29.95833333,29.6,1.245
29.96875,29.5,1.242
29.97916667,29.3,1.239
29.98958333,29.5,1.242
30,29.3,1.239
